Time,Wavelength,Sequence #,OptAvg
20230915182652,WL_2,1,7755
20230915182652,WL_3,2,2991
20230915182703,WL_2,3,7774
20230915182704,WL_3,4,2994
20230915182715,WL_2,5,7795
20230915182715,WL_3,6,2994
20230915182727,WL_2,7,7808
20230915182727,WL_3,8,2994
20230915182739,WL_2,9,7803
20230915182739,WL_3,10,3011
20230915182750,WL_2,11,7830
20230915182751,WL_3,12,3003
20230915182802,WL_2,13,7812
20230915182803,WL_3,14,3008
20230915182814,WL_2,15,7828
20230915182814,WL_3,16,3005
20230915182826,WL_2,17,7842
20230915182826,WL_3,18,3029
20230915182837,WL_2,19,7839
20230915182838,WL_3,20,3030
20230915182849,WL_2,21,7876
20230915182850,WL_3,22,3030
20230915182901,WL_2,23,7859
20230915182901,WL_3,24,3037
20230915182913,WL_2,25,7867
20230915182913,WL_3,26,3034
20230915182925,WL_2,27,7859
20230915182925,WL_3,28,3040
20230915182936,WL_2,29,7884
20230915182937,WL_3,30,3044
20230915182948,WL_2,31,7890
20230915182948,WL_3,32,3040
20230915183000,WL_2,33,7904
20230915183000,WL_3,34,3050
20230915183012,WL_2,35,7911
20230915183012,WL_3,36,3048
20230915183023,WL_2,37,7921
20230915183024,WL_3,38,3060
20230915183035,WL_2,39,7919
20230915183035,WL_3,40,3046
20230915183047,WL_2,41,7938
20230915183047,WL_3,42,3062
20230915183059,WL_2,43,7946
20230915183059,WL_3,44,3063
20230915183110,WL_2,45,7943
20230915183111,WL_3,46,3064
20230915183122,WL_2,47,7956
20230915183122,WL_3,48,3058
20230915183134,WL_2,49,7962
20230915183134,WL_3,50,3080
20230915183146,WL_2,51,7951
20230915183146,WL_3,52,3075
20230915183157,WL_2,53,7974
20230915183158,WL_3,54,3069
20230915183209,WL_2,55,7963
20230915183209,WL_3,56,3079
20230915183221,WL_2,57,7984
20230915183221,WL_3,58,3077
20230915183233,WL_2,59,7977
20230915183233,WL_3,60,3080
20230915183244,WL_2,61,7994
20230915183245,WL_3,62,3074
20230915183256,WL_2,63,8002
20230915183257,WL_3,64,3098
20230915183308,WL_2,65,8013
20230915183308,WL_3,66,3103
20230915183320,WL_2,67,8015
20230915183320,WL_3,68,3108
20230915183331,WL_2,69,8027
20230915183332,WL_3,70,3105
20230915183343,WL_2,71,8019
20230915183344,WL_3,72,3110
20230915183355,WL_2,73,8048
20230915183355,WL_3,74,3102
20230915183407,WL_2,75,8034
20230915183407,WL_3,76,3116
20230915183419,WL_2,77,8053
20230915183419,WL_3,78,3117
20230915183430,WL_2,79,8044
20230915183431,WL_3,80,3123
20230915183442,WL_2,81,8051
20230915183442,WL_3,82,3126
20230915183454,WL_2,83,8061
20230915183454,WL_3,84,3138
20230915183506,WL_2,85,8069
20230915183506,WL_3,86,3127
20230915183517,WL_2,87,8080
20230915183518,WL_3,88,3122
20230915183529,WL_2,89,8071
20230915183529,WL_3,90,3140
